"CPU","Passmark Multi","Passmark Single","GPU","3DMark","PC Bench","Gamecube (Mario Kart Double Dash)","3DS (Super Mario 3D Land) - Libretro/Citra","PSP (Gran Turismo)","PS2 (Bloody Roar 4)","","","","","","","","","","","","","","","",""
"Intel Celeron 1037U","1736","956","Intel HD Graphics 2500","250","23,6","1x","0","2x","0","","","","","","","","","","","","","","","",""
"Intel Pentium B960","1852","1068","Intel HD Graphics (Sandy Bridge)","205","27,5","1x","0","2x","0","","","","","","","","","","","","","","","",""
"Intel Celeron G1610T","2270","1202","Intel HD Graphics 2500","250","30","1x","1x","2x","0","","","","","","","","","","","","","","","",""
"Intel Core m7-6Y75","3461","1363","Intel HD Graphics 515","647","34,9","1x","1x","2x","0","","","","","","","","","","","","","","","",""
"Intel Celeron G1610","2489","1397","Intel HD Graphics 2500","250","33,7","1x","1x","2x","0","","","","","","","","","","","","","","","",""
"Intel Core i5-3427U","3547","1404","Intel HD Graphics 4000","457","34,5","1x","1x","2x","0","","","","","","","","","","","","","","","",""
"Intel Core i5-4250U","3452","1449","Intel HD Graphics 5000","601","32,6","1x","2x","3x","0","","","","","","","","","","","","","","","",""
"Intel Core i5-6200U","4022","1499","Intel HD Graphics 520","839","41","2x","3x","5x","1x","","","","","","","","","","","","","","","",""
"Intel Pentium G3220","3127","1741","Intel HD Graphics (Haswell)","314","42,3","1x","2x","3x","1x","","","","","","","","","","","","","","","",""
"Intel Pentium G4500","3794","1973","Intel HD Graphics 530","999","53,9","2x","3x","5x","1x","","","","","","","","","","","","","","","",""
"Intel Core i7-4770T","8585","2068","Intel HD Graphics 4600","713","48,2","2x","3x","4x","1x","","","","","","","","","","","","","","","",""
"Intel Core i3-8109U","6130","2140","Intel Iris Plus Graphics 655","1980","49,6","3x","4x","8x","1x","","","","","","","","","","","","","","","",""
"Intel Xeon E3-1246 v3","9864","2240","Intel HD Graphics P4600","605","54,7","2x","3x","4x","1x","","","","","","","","","","","","","","","",""
"Intel Core i7-4790","9987","2282","Intel HD Graphics 4600","713","56,6","2x","3x","4x","1x","","","","","","","","","","","","","","","",""
"Intel Core i7-4790","9987","2282","NVIDIA GeForce GTX 750 Ti","3761","51,9","6x","0","10x","5x","","","","","","","","","","","","","","","",""
